Câu hỏi,Trả lời
Cách kiểm tra hàng chính hãng,"Chào bạn, Các sản phẩm thương hiệu Docilee được CÔNG TY TNHH ALOTST nhập khẩu và phân phối độc quyền trên thị trường Việt Nam. ""Docilee Vietnam"" là gian hàng chính hãng của Công ty trên sàn nên bạn có thể yên tâm mua hàng tại đây. Để tránh mua phải hàng nhái/giả kém chất lượng, bạn vui lòng mua hàng tại các điểm bán chính hãng lớn uy tín nhé ạ."
Lấy sỉ,"Chào bạn, Bạn vui lòng để lại phương thức liên hệ nhé. Docilee VietNam cảm ơn bạn đã quan tâm ạ."
Mua hàng offline,"Chào bạn, Bạn vui lòng để lại phương thức liên hệ nhé. Docilee VietNam cảm ơn bạn đã quan tâm ạ."
Muốn đổi sản phẩm khác sau khi đặt đơn và đơn đã/đang được xử lý,"Chào bạn, Docilee rất xin lỗi vì chưa thể hỗ trợ bạn vấn đề này. Kho hàng sẽ chỉ đóng gói sản phẩm và số lượng đúng theo đơn hàng mà bạn đã đặt. Bạn thông cảm giúp Shop và lưu ý lần sau đặt đúng sản phẩm mong muốn nhé ạ."
Có giao hoả tốc không?,"Chào bạn, Hiện tại Docilee chưa có hỗ trợ giao hàng hoả tốc do thời gian làm việc của kho hàng theo giờ hành chính. Mong bạn thông cảm giúp Shop và đặt hàng giao thường ạ."
Xử lý đơn hàng lâu quá,"Chào bạn, Hiện nay Docilee đang xử lý số lượng lớn đơn hàng nên sẽ cố gắng đóng gói đơn hàng của bạn sớm nhất có thể. Bạn vui lòng theo dõi Thông tin vận chuyển nhé ạ."
Giao hàng lâu quá,"Chào bạn, Hiện đơn hàng đang được giao đi bởi đơn vị vận chuyển. Shop đã kiểm tra và nhắn nhờ sàn hối thúc đvvc sớm giao hàng cho mình ạ. Bạn vui lòng chờ shipper gọi giao hàng nhé"
Người giao hàng chỉ gọi 1 lần và hủy đơn hàng,"Chào bạn, Docilee tiếp nhận ý kiến của bạn và đã phản ánh với sàn về trường hợp này. Hiện đơn hàng đã bị hoàn về cho shop. Bạn thông cảm và đặt lại đơn mới giúp shop nhé. Shop rất tiếc và xin lỗi vì trải nghiệm chưa tốt này ạ"
"4, 5 sao","Chào bạn, Cảm ơn bạn đã tin tưởng và lựa chọn mua sản phẩm của Docilee. Nếu có vấn đề gì chưa hài lòng hãy nhắn lại ngay cho Shop để được hỗ trợ và xử lí nhanh nhất. Shop rất hy vọng được tiếp tục đồng hành cùng bạn trong tương lai."
"4,5 sao","Chào bạn, Docilee cảm ơn những phản hồi quý báu của bạn. Hãy ghé Shop thường xuyên để trải nghiệm sản phẩm và dịch vụ tuyệt vời nhất nhé. 

Shop cảm ơn bạn đã hài lòng với sản phẩm nước giặt xả quần áo em bé Docilee ạ. Chúc bạn và gia đình sẽ có trải nghiệm tốt với sản phẩm và hi vọng bạn sẽ tiếp tục ủng hộ shop trong thời gian sắp tới."
"1,2,3 sao - không có cmt","Chào bạn, Docilee rất tiếc vì trải nghiệm mua hàng khiến bạn chưa hài lòng. Shop đã liên hệ với khách hàng để tìm hiểu vấn đề và hỗ trợ, rất mong nhận được phản hồi từ bạn. Khách hàng khi gặp bất cứ vấn đề gì với đơn hàng hãy liên hệ ngay với shop để được hỗ trợ nhanh nhất chứ đừng vội đánh giá nhé. Docilee cảm ơn quý khách rất nhiều!"
Đánh giá Mùi hương không thơm,"Chào bạn, Docilee rất xin lỗi vì trải nghiệm sử dụng sản phẩm của bạn chưa được ưng ý. Shop đã liên hệ để hỗ trợ mình ạ. Khi gặp bất cứ vấn đề gì với sản phẩm Quý khách hãy liên hệ ngay với Shop để được hỗ trợ nhanh nhất chứ đừng vội đánh giá nhé. Docilee cảm ơn quý khách rất nhiều!"
"Nhận hàng bị móp méo, đổ vỡ","Chào bạn, Docilee rất xin lỗi vì tình trạng sản phẩm mà mình nhận được. Shop đã đóng gói cẩn thận tuy nhiên trong quá trình vận chuyển bị va đập mạnh khiến đơn hàng bị móp méo. Shop sẽ cố gắng đóng gói cẩn thận hơn nữa để tránh trường hợp không mong muốn như vậy xảy ra. Shop rất xin lỗi và mong bạn thông cảm ạ"
"Gặp vấn đề xảy ra nhưng Shop phản hồi chậm, khách đánh giá CSKH kém","Chào bạn, Docilee rất xin lỗi vì chưa hỗ trợ bạn nhanh nhất có thể khiến trải nghiệm mua hàng của bạn không tốt. Mong bạn thông cảm giúp Shop vì trong thời gian đó Shop phải thông tin lại các bộ phận liên quan và tìm phương án hỗ trợ giải quyết tốt nhất. Các quý khách hàng hãy cứ yên tâm rằng Shop sẽ luôn hỗ trợ xử lý sự cố cho mình nhé ạ."
